iter	Passed	Remaining
0	0	44
1	0	43
2	1	44
3	1	39
4	1	37
5	2	35
6	2	34
7	2	33
8	3	32
9	3	31
10	3	30
11	4	30
12	4	29
13	4	29
14	5	29
15	5	29
16	6	29
17	6	29
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	11	23
32	11	23
33	11	22
34	12	22
35	12	22
36	13	22
37	13	22
38	14	22
39	14	21
40	14	21
41	14	20
42	15	20
43	15	20
44	16	20
45	17	20
46	17	19
47	18	19
48	18	19
49	18	18
50	19	18
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	23	16
59	23	15
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	13
68	28	12
69	28	12
70	28	11
71	29	11
72	29	11
73	30	10
74	30	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	35	7
83	35	6
84	36	6
85	36	5
86	36	5
87	37	5
88	37	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	42	0
99	42	0
