iter	Passed	Remaining
0	63	63590
1	64	31969
2	64	21425
3	64	16146
4	65	12980
5	65	10858
6	66	9441
7	66	8289
8	67	7402
9	67	6705
10	68	6124
11	68	5640
12	68	5226
13	69	4874
14	69	4576
15	70	4312
16	70	4072
17	70	3868
18	71	3677
19	71	3510
20	72	3357
21	72	3225
22	73	3105
23	73	2989
24	73	2882
25	74	2783
26	74	2694
27	75	2618
28	75	2540
29	76	2469
30	76	2404
31	77	2337
32	77	2280
33	78	2221
34	78	2167
35	79	2118
36	79	2072
37	79	2024
38	80	1978
39	80	1940
40	81	1900
41	81	1865
42	82	1832
43	82	1796
44	83	1766
45	83	1735
46	84	1705
47	84	1679
48	85	1651
49	85	1627
50	86	1601
51	86	1578
52	86	1553
53	87	1531
54	87	1510
55	88	1487
56	88	1466
57	89	1446
58	89	1429
59	90	1412
60	90	1393
61	91	1378
62	91	1362
63	92	1346
64	92	1329
65	93	1323
66	94	1311
67	94	1295
68	95	1282
69	95	1270
70	96	1257
71	96	1245
72	97	1234
73	97	1224
74	98	1213
75	98	1200
76	99	1189
77	99	1178
78	100	1169
79	100	1157
80	100	1145
81	101	1134
82	101	1122
83	101	1111
84	102	1102
85	102	1092
86	103	1081
87	103	1072
88	103	1062
89	104	1054
90	104	1048
91	105	1038
92	105	1029
93	105	1021
94	106	1014
95	106	1007
96	107	999
97	107	993
98	108	985
99	108	979
100	109	972
101	109	967
102	110	961
103	110	954
104	111	947
105	111	941
106	112	937
107	112	931
108	113	924
109	113	918
110	113	912
111	114	907
112	114	902
113	115	896
114	115	890
115	116	887
116	116	880
117	117	876
118	117	870
119	118	865
120	118	861
121	119	856
122	119	851
123	119	847
124	120	843
125	120	839
126	121	833
127	121	829
128	122	824
129	122	820
130	123	817
131	123	812
132	123	807
133	124	804
134	124	799
135	125	794
136	125	790
137	125	786
138	126	781
139	126	777
140	127	773
141	127	768
142	127	766
143	128	762
144	128	760
145	129	756
146	129	752
147	129	748
148	130	744
149	130	740
150	130	736
151	131	733
152	131	729
153	132	726
154	132	722
155	133	719
156	133	716
157	133	713
158	134	709
159	134	706
160	134	702
161	135	699
162	135	696
163	136	694
164	136	690
165	136	687
166	137	685
167	137	682
168	138	680
169	138	677
170	139	674
171	139	671
172	139	669
173	140	666
174	140	663
175	141	661
176	141	659
177	142	656
178	142	653
179	142	651
180	143	648
181	143	645
182	144	643
183	145	643
184	145	641
185	145	638
186	146	636
187	146	634
188	147	631
189	147	630
190	148	627
191	148	624
192	148	622
193	149	619
194	149	617
195	149	614
196	150	612
197	150	610
198	151	609
199	151	607
200	152	605
201	152	603
202	153	601
203	153	599
204	153	596
205	154	595
206	154	593
207	155	591
208	155	589
209	156	587
210	156	584
211	156	582
212	157	580
213	157	579
214	158	577
215	158	575
216	158	573
217	159	571
218	159	569
219	160	567
220	160	566
221	160	563
222	161	562
223	161	560
224	162	559
225	162	557
226	163	556
227	163	554
228	164	552
229	164	551
230	165	549
231	165	548
232	166	546
233	166	545
234	167	544
235	167	542
236	167	540
237	168	539
238	168	537
239	169	535
240	169	533
241	169	532
242	170	530
243	170	529
244	171	527
245	171	525
246	172	526
247	173	524
248	173	523
249	173	521
250	174	519
251	174	517
252	174	516
253	175	514
254	175	513
255	176	512
256	176	510
257	176	508
258	177	507
259	177	505
260	178	504
261	178	502
262	178	501
263	179	500
264	179	498
265	180	497
266	180	495
267	181	494
268	181	493
269	181	491
270	182	490
271	182	489
272	183	488
273	183	486
274	184	485
275	184	484
276	185	482
277	185	481
278	185	480
279	186	478
280	186	478
281	188	478
282	188	477
283	188	476
284	189	475
285	189	473
286	190	472
287	190	470
288	190	469
289	191	468
290	191	467
291	192	466
292	192	464
293	193	463
294	193	462
295	193	461
296	194	460
297	194	459
298	195	457
299	195	456
300	196	455
301	196	454
302	197	453
303	197	452
304	197	451
305	198	449
306	198	448
307	199	447
308	199	446
309	200	445
310	200	444
311	200	442
312	201	441
313	201	440
314	202	439
315	202	438
316	202	436
317	203	435
318	203	434
319	204	433
320	204	432
321	204	431
322	205	430
323	205	429
324	206	428
325	206	427
326	207	426
327	207	425
328	208	424
329	208	423
330	208	422
331	209	421
332	209	420
333	210	419
334	210	417
335	210	416
336	211	415
337	211	415
338	212	413
339	212	412
340	213	411
341	213	410
342	213	409
343	214	408
344	214	407
345	215	406
346	215	405
347	215	404
348	216	403
349	216	402
350	217	401
351	217	400
352	217	399
353	218	398
354	218	397
355	219	396
356	219	395
357	220	394
358	220	393
359	220	392
360	221	391
361	221	390
362	222	389
363	222	388
